Ch1 Amplitude,Ch2 Amplitude,Cluster
1136.28979,8278.989,1
1136.43518,9627.284,4
1136.44092,9706.67,4
1136.4574,8028.59033,1
1136.56519,10503.2705,4
1136.59058,8237.485,1
1136.64441,9843.575,4
1136.69873,9882.123,4
1136.76648,9784.715,4
1136.843,10003.2334,4
1136.92163,8212.096,1
1136.95471,9887.878,4
1137.01929,8177.85156,1
1137.059,10228.6162,4
1137.10657,8159.06543,1
1137.11072,8999.395,1
1137.3042,8351.579,1
1137.37939,9680.178,4
1138.08948,8319.307,1
1138.107,13210.6377,4
1138.17188,8148.436,1
1138.20435,8251.181,1
1138.51111,9584.166,4
1138.53564,9940.965,4
1138.64954,9589.054,4
1138.65625,9713.77051,4
1138.95007,9240.065,4
1139.00781,8090.744,1
1139.29639,12255.0977,4
1139.3717,10363.6348,4
1139.37964,8354.283,1
1139.38159,8306.655,1
1139.49744,9831.176,4
1139.521,8214.637,1
1139.52832,9543.412,4
1139.6261,8107.84229,1
1139.68359,9487.472,4
1139.94031,8159.252,1
1140.27454,9752.859,4
1140.47083,9468.096,4
1140.5603,8253.099,1
1140.57959,9814.123,4
1140.58374,8239.551,1
1140.61023,9907.301,4
1140.65283,10266.125,4
1140.78943,9376.027,4
1140.85461,9881.698,4
1140.91467,8227.947,1
1140.97168,8190.12646,1
1141.02539,8378.543,1
1141.12659,8308.597,1
1141.18628,9584.764,4
1141.23,9879.068,4
1141.435,9616.904,4
1141.45923,8146.434,1
1141.4613,8208.74,1
1141.647,8894.248,1
1141.69238,8946.395,1
1141.919,9470.252,4
1141.98474,9205.695,4
1141.99866,9349.924,4
1142.16772,9175.089,4
1142.25354,8213.093,1
1142.287,7912.28271,1
1142.5957,9790.181,4
1142.82727,8074.40137,1
1142.87744,9547.459,4
1142.96936,8334.446,1
1143.1001,8462.265,1
1143.12341,12150.4561,4
1143.17908,8686.125,1
1143.36389,10572.88,4
1143.44226,9547.814,4
1143.44617,8416.252,1
1143.51062,9029.469,1
1144.04236,12498.31,4
1144.17566,8106.576,1
1144.22693,8104.187,1
1144.23389,8424.455,1
1144.49768,10479.8047,4
1144.68921,8182.91943,1
1144.775,8750.144,1
1144.8689,8205.64551,1
1144.92725,12615.4375,4
1144.95422,9928.878,4
1144.99011,9890.902,4
1145.05188,8214.623,1
1145.05676,10421.47,4
1145.12109,10403.03,4
1145.27319,7968.926,1
1145.315,8335.995,1
1145.34753,8706.772,1
1145.375,9375.894,4
1145.61182,8298.532,1
1145.6311,12500.7559,4
1145.63147,9638.978,4
1145.65308,8121.57568,1
1145.71045,9469.481,4
1145.93811,8165.795,1
1146.06482,10078.6465,4
1146.179,9532.084,4
1146.32141,9424.374,4
1146.343,9707.297,4
1146.36975,10850.1436,4
1146.37207,8288.146,1
1146.37354,9859.117,4
1146.47949,8271.594,1
1146.50134,8061.466,1
1146.68542,10206.9971,4
1146.83459,8249.387,1
1147.06,8179.24756,1
1147.12866,8386.47949,1
1147.22815,8640.948,1
1147.31079,8135.671,1
1147.45142,8867.826,1
1147.64111,9506.064,4
1147.65881,9649.593,4
1147.71289,8490.223,1
1147.805,8308.997,1
1147.85278,9654.323,4
1147.88916,9408.051,4
1148.00378,8239.037,1
1148.23108,10029.04,4
1148.30273,8208.234,1
1148.47571,8109.102,1
1148.54211,8162.607,1
1148.598,10320.668,4
1148.9,10350.3438,4
1149.07568,8281.082,1
1149.15186,10830.6592,4
1149.43872,8332.068,1
1149.439,9358.269,4
1149.453,9975.352,4
1149.59583,9736.179,4
1149.661,10153.6846,4
1149.75977,9611.508,4
1149.84644,8508.97,1
1150.043,9395.913,4
1150.05115,10582.9971,4
1150.10461,8047.75732,1
1150.10474,9246.629,4
1150.21521,8312.654,1
1150.29321,11079.707,4
1150.36951,12408.2637,4
1150.46545,9473.242,4
1150.66553,9532.288,4
1150.6875,8239.15,1
1150.70374,9764.449,4
1150.71973,9813.737,4
1151.08313,10027.0479,4
1151.08752,9761.725,4
1151.121,12364.2422,4
1151.13965,9882.269,4
1151.28857,11743.1914,4
1151.32849,10820.9766,4
1151.3512,9906.72949,4
1151.399,8012.25732,1
1151.48364,8277.379,1
1151.49646,9925.811,4
1151.50073,9598.939,4
1151.509,7975.41748,1
1151.58679,10210.748,4
1151.60425,8133.04736,1
1151.61182,8566.036,1
1151.62451,9419.373,4
1151.63,9645.56,4
1151.70984,9781.288,4
1151.71216,8504.996,1
1151.74939,9542.712,4
1151.9834,9678.524,4
1152.06274,8349.151,1
1152.14624,9517.113,4
1152.20422,10155.7793,4
1152.22058,9954.288,4
1152.42017,8242.057,1
1152.4613,8432.965,1
1152.47913,8777.285,1
1152.52869,8204.212,1
1152.55176,8268.484,1
1152.62317,10789.1123,4
1152.73035,8233.468,1
1152.75037,10270.8281,4
1152.88757,8126.98975,1
1153.05,9774.721,4
1153.15771,9179.376,4
1153.18945,10132.6582,4
1153.23169,8480.726,1
1153.25439,9721.026,4
1153.25488,8363.836,1
1153.357,12096.8174,4
