Ch1 Amplitude,Ch2 Amplitude,Cluster
1245.81067,7861.94238,1
1245.912,9397.044,4
1246.04382,7678.535,1
1246.06055,8880.88,4
1246.147,7617.923,1
1246.211,7353.769,1
1246.29932,9518.928,4
1246.32251,8611.024,4
1246.51648,7543.59326,1
1246.545,7650.303,1
1246.58691,7396.50342,1
1246.59875,7591.259,1
1246.60315,9716.309,4
1246.614,7860.602,1
1246.678,8215.053,1
1246.70837,7471.16162,1
1246.756,7493.51563,1
1246.75989,7865.16553,1
1246.77258,7818.528,1
1246.85388,7616.418,1
1246.90881,7678.08643,1
1247.01648,7522.6377,1
1247.11743,9400.471,4
1247.12585,7510.60156,1
1247.15222,7587.14,1
1247.31055,7757.879,1
1247.33789,8933.848,4
1247.58057,7474.487,1
1247.87451,7653.35449,1
1247.97107,7550.98828,1
1248.00391,7450.699,1
1248.01685,7509.735,1
1248.055,7554.46533,1
1248.0658,7643.01172,1
1248.1405,9710.908,4
1248.14771,7510.2876,1
1248.25122,7454.39453,1
1248.34473,7322.19727,1
1248.41675,7577.588,1
1248.4519,7492.994,1
1248.49658,7460.978,1
1248.74072,9713.948,4
1248.81921,7618.34961,1
1248.95532,7838.80859,1
1249.11182,7392.527,1
1249.12073,7661.488,1
1249.141,9600.808,4
1249.1958,7488.023,1
1249.20044,9371.737,4
1249.24951,7573.667,1
1249.256,7285.97363,1
1249.27307,7600.982,1
1249.40173,9270.498,4
1249.63513,9409.261,4
1249.76111,7557.32227,1
1249.903,7666.43262,1
1249.92883,7311.845,1
1250.08386,7382.755,1
1250.14868,7601.417,1
1250.1687,7512.274,1
1250.19788,9636.011,4
1250.20715,7721.782,1
1250.21375,9566.974,4
1250.30762,7491.151,1
1250.3147,7649.2666,1
1250.33386,7447.626,1
1250.334,10082.7734,4
1250.38879,9745.68,4
1250.39038,7681.704,1
1250.39246,7539.24072,1
1250.43518,7608.519,1
1250.56763,8873.502,4
1250.72815,7544.724,1
1250.74048,7602.9165,1
1250.80139,9323.034,4
1250.9165,7524.50244,1
1251.05969,7604.52832,1
1251.09485,7349.038,1
1251.12537,7480.61572,1
1251.22852,7588.715,1
1251.321,9735.553,4
1251.34949,9207.617,4
1251.564,9669.931,4
1251.62,7695.48438,1
1251.63269,7674.06348,1
1251.66833,9383.463,4
1251.67627,7577.8125,1
1251.73633,7493.135,1
1251.76025,7592.39258,1
1251.83948,7653.531,1
1251.87744,8311.9375,1
1251.92261,9366.373,4
1252.0741,7703.089,1
1252.118,7619.29639,1
1252.13379,8645.751,4
1252.13831,7492.985,1
1252.17334,7519.38428,1
1252.19971,7546.054,1
1252.29175,7856.765,1
1252.3252,7716.95459,1
1252.42029,7472.56641,1
1252.42542,7427.005,1
1252.49365,7455.90332,1
1252.5824,7610.08057,1
1252.64783,7509.609,1
1252.69214,7943.213,1
1252.757,7450.701,1
1252.85071,7577.93066,1
1252.881,7542.4873,1
1252.89441,7543.11,1
1252.966,7316.732,1
1252.97339,8342.636,1
1252.98315,7502.508,1
1253.01575,7687.138,1
1253.028,7463.00537,1
1253.02966,7821.31348,1
1253.07031,7581.146,1
1253.15588,7422.698,1
1253.41431,7578.373,1
1253.449,7602.10742,1
1253.50562,7423.67041,1
1253.574,7756.673,1
1253.618,8102.54541,1
1253.645,9627.611,4
1253.71667,7535.885,1
1253.75549,7634.22266,1
1253.8092,7812.06934,1
1253.955,7753.72266,1
1253.98132,8512.314,4
1254.02063,7411.73535,1
1254.0769,7466.07861,1
1254.09143,7388.85,1
1254.12488,8085.393,1
1254.17078,7492.016,1
1254.27722,7460.90234,1
1254.336,7704.75635,1
1254.35645,7703.039,1
1254.40222,7522.44971,1
1254.45422,7419.342,1
1254.50854,9420.246,4
1254.5448,7345.50244,1
1254.56885,7537.3833,1
1254.56982,7329.88428,1
1254.654,7640.32666,1
1254.72424,7509.913,1
1254.72681,7401.119,1
1254.75085,7686.08,1
1254.78772,7553.77148,1
1254.91687,7590.027,1
1254.945,7417.586,1
1255.07532,9352.574,4
1255.18518,7362.34473,1
1255.332,7550.45557,1
1255.408,7430.08838,1
1255.44836,9553.835,4
1255.54749,7595.9126,1
1255.56226,9866.167,4
1255.56714,7410.92,1
1255.5863,7552.176,1
1255.66626,9335.551,4
1255.68372,9053.669,4
1255.70178,7561.32129,1
1255.74548,7560.11133,1
1255.82373,7376.553,1
1255.82837,9199.73,4
1255.8335,7303.51855,1
1255.9552,7447.212,1
1256.01318,9775.667,4
1256.025,9456.598,4
1256.1156,7402.847,1
1256.18628,7505.376,1
1256.26526,7943.67725,1
1256.328,7814.49561,1
1256.3363,8047.45752,1
1256.3385,7356.462,1
1256.44336,9407.774,4
1256.584,7704.536,1
1256.63538,7809.86475,1
1256.6908,8011.242,1
1256.76355,11676.3369,4
1256.79138,7797.24072,1
1256.79944,7579.95459,1
1256.83386,7466.613,1
1256.84521,7551.76855,1
1257.13452,7633.245,1
1257.14612,7590.605,1
1257.14954,7884.054,1
1257.15039,9643.846,4
1257.171,11629.5713,4
1257.17407,9625.232,4
1257.377,8213.441,1
1257.39807,7627.54932,1
1257.469,7782.55127,1
1257.53833,7499.598,1
1257.552,7592.94775,1
1257.56067,7577.937,1
1257.58386,9439.978,4
1257.63477,7600.74561,1
1257.67285,7532.545,1
1257.74207,7664.955,1
1257.8136,7423.71826,1
1257.83557,7446.19971,1
1257.89514,7449.325,1
1257.92871,9467.001,4
1257.93848,9415.643,4
1257.96057,7558.88135,1
1257.98975,7639.714,1
1258.04773,12313.9873,4
1258.11926,7538.217,1
1258.19592,7516.042,1
1258.24585,7938.316,1
1258.314,7416.34229,1
1258.3606,7576.44141,1
1258.4176,7714.2583,1
1258.45947,7660.379,1
1258.50952,7622.54346,1
1258.57581,9716.337,4
